"Jul 26, 2019 13:31:08.990840000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:09.034022000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:09.079168000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:09.119411000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:09.347272000 AEST","9e:06:00:e0:68:a1",, ainsworth
"Jul 26, 2019 13:31:09.395618000 AEST","00:f9:d3:0a:90:05","eduroam", ainsworth
"Jul 26, 2019 13:31:09.744927000 AEST","a4:b8:05:dd:9d:53","uniwide", ainsworth
"Jul 26, 2019 13:31:12.079788000 AEST","68:ab:1e:97:e7:64","uniwide", ainsworth
"Jul 26, 2019 13:31:12.104546000 AEST","57:be:1d:97:e7:64",, ainsworth
"Jul 26, 2019 13:31:12.124805000 AEST","80:dc:93:f7:a9:64",, ainsworth
"Jul 26, 2019 13:31:12.741861000 AEST","66:8b:29:d9:e4:fd","", ainsworth
"Jul 26, 2019 13:31:12.796923000 AEST","66:8b:29:d9:e4:fd","", ainsworth
"Jul 26, 2019 13:31:12.900887000 AEST","d6:ff:3b:70:ba:45","", ainsworth
"Jul 26, 2019 13:31:12.956763000 AEST","d6:ff:3b:70:ba:45","", ainsworth
"Jul 26, 2019 13:31:13.062696000 AEST","70:ef:00:68:66:43","uniwide", ainsworth
"Jul 26, 2019 13:31:13.077254000 AEST","70:ef:00:68:66:43","uniwide", ainsworth
"Jul 26, 2019 13:31:13.122085000 AEST","9c:e6:5e:cb:61:98","uniwide", ainsworth
"Jul 26, 2019 13:31:13.148303000 AEST","9c:e6:5e:cb:61:98","uniwide", ainsworth
"Jul 26, 2019 13:31:13.258535000 AEST","96:5c:b0:3f:be:f9","", ainsworth
"Jul 26, 2019 13:31:13.279516000 AEST","96:5c:b0:3f:be:f9","", ainsworth
"Jul 26, 2019 13:31:13.306256000 AEST","96:5c:b0:3f:be:f9","", ainsworth
"Jul 26, 2019 13:31:13.326377000 AEST","96:5c:b0:3f:be:f9","", ainsworth
"Jul 26, 2019 13:31:13.327385000 AEST","c4:61:8b:ca:db:3a","uniwide", ainsworth
"Jul 26, 2019 13:31:13.340439000 AEST","c4:61:8b:ca:db:3a","uniwide", ainsworth
"Jul 26, 2019 13:31:13.351264000 AEST","c4:61:8b:ca:db:3a","uniwide", ainsworth
"Jul 26, 2019 13:31:13.362542000 AEST","c4:61:8b:ca:db:3a","uniwide", ainsworth
"Jul 26, 2019 13:31:13.567253000 AEST","8a:73:65:6e:ec:d8","", ainsworth
"Jul 26, 2019 13:31:13.607608000 AEST","8a:73:65:6e:ec:d8","", ainsworth
"Jul 26, 2019 13:31:13.649498000 AEST","8a:73:65:6e:ec:d8","", ainsworth
"Jul 26, 2019 13:31:13.689703000 AEST","8a:73:65:6e:ec:d8","", ainsworth
"Jul 26, 2019 13:31:13.784930000 AEST","6c:ab:31:a3:e7:7c","uniwide", ainsworth
"Jul 26, 2019 13:31:13.792691000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:13.795105000 AEST","6c:ab:31:a3:e7:7c","uniwide", ainsworth
"Jul 26, 2019 13:31:13.836070000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:13.881765000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:13.921977000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:14.271694000 AEST","1e:4f:71:40:00:b9","", ainsworth
"Jul 26, 2019 13:31:14.276691000 AEST","78:4f:43:47:f1:49","uniwide", ainsworth
"Jul 26, 2019 13:31:14.286850000 AEST","78:4f:43:47:f1:49","uniwide", ainsworth
"Jul 26, 2019 13:31:14.313971000 AEST","1e:4f:71:40:00:b9","", ainsworth
"Jul 26, 2019 13:31:15.971397000 AEST","da:a1:19:5e:5b:88","uniwide", ainsworth
"Jul 26, 2019 13:31:15.972126000 AEST","da:a1:19:5e:5b:88","", ainsworth
"Jul 26, 2019 13:31:15.991243000 AEST","da:a1:19:5e:5b:88","uniwide", ainsworth
"Jul 26, 2019 13:31:15.991943000 AEST","da:a1:19:5e:5b:88","", ainsworth
"Jul 26, 2019 13:31:16.021108000 AEST","da:a1:19:5e:5b:88","uniwide", ainsworth
"Jul 26, 2019 13:31:16.021390000 AEST","da:a1:19:5e:5b:88","", ainsworth
"Jul 26, 2019 13:31:16.041894000 AEST","da:a1:19:5e:5b:88","uniwide", ainsworth
"Jul 26, 2019 13:31:16.042125000 AEST","da:a1:19:5e:5b:88","", ainsworth
"Jul 26, 2019 13:31:16.553323000 AEST","d8:1c:79:b4:81:f2","uniwide", ainsworth
"Jul 26, 2019 13:31:16.568440000 AEST","d8:1c:79:b4:81:f2","uniwide", ainsworth
"Jul 26, 2019 13:31:16.755080000 AEST","12:85:76:80:f0:6b","", ainsworth
"Jul 26, 2019 13:31:16.775462000 AEST","12:85:76:80:f0:6b","", ainsworth
"Jul 26, 2019 13:31:16.800032000 AEST","12:85:76:80:f0:6b","", ainsworth
"Jul 26, 2019 13:31:16.820219000 AEST","12:85:76:80:f0:6b","", ainsworth
"Jul 26, 2019 13:31:16.852711000 AEST","14:4e:04:82:14:cf",, ainsworth
"Jul 26, 2019 13:31:16.882773000 AEST","96:4e:02:88:1c:4e",, ainsworth
"Jul 26, 2019 13:31:16.987585000 AEST","9c:e6:5e:cb:61:98","uniwide", ainsworth
"Jul 26, 2019 13:31:16.996881000 AEST","9c:e6:5e:cb:61:98","uniwide", ainsworth
"Jul 26, 2019 13:31:17.017613000 AEST","9c:e6:5e:cb:61:98","uniwide", ainsworth
"Jul 26, 2019 13:31:17.030825000 AEST","9c:e6:5e:cb:61:98","uniwide", ainsworth
"Jul 26, 2019 13:31:17.478287000 AEST","78:4f:43:47:f1:49","uniwide", ainsworth
"Jul 26, 2019 13:31:17.488397000 AEST","78:4f:43:47:f1:49","uniwide", ainsworth
"Jul 26, 2019 13:31:17.791862000 AEST","78:4f:43:47:f1:49","uniwide", ainsworth
"Jul 26, 2019 13:31:17.802781000 AEST","78:4f:43:47:f1:49","uniwide", ainsworth
"Jul 26, 2019 13:31:17.844515000 AEST","d9:da:a4:7d:6c:da",, ainsworth
"Jul 26, 2019 13:31:17.957081000 AEST","8c:f5:a3:de:fb:d6","", ainsworth
"Jul 26, 2019 13:31:17.997316000 AEST","8c:f5:a3:de:fb:d6","", ainsworth
"Jul 26, 2019 13:31:18.042085000 AEST","8c:f5:a3:de:fb:d6","", ainsworth
"Jul 26, 2019 13:31:18.082351000 AEST","8c:f5:a3:de:fb:d6","", ainsworth
"Jul 26, 2019 13:31:18.287554000 AEST","78:4f:43:47:f1:49","uniwide", ainsworth
"Jul 26, 2019 13:31:18.297702000 AEST","78:4f:43:47:f1:49","uniwide", ainsworth
"Jul 26, 2019 13:31:18.629831000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:18.672952000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:18.718065000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:18.758149000 AEST","08:c5:e1:a2:0f:52","", ainsworth
"Jul 26, 2019 13:31:19.284256000 AEST","58:40:4e:32:2b:db","uniwide", ainsworth
"Jul 26, 2019 13:31:19.290344000 AEST","dc:53:60:e7:8e:f2","uniwide", ainsworth
"Jul 26, 2019 13:31:19.292482000 AEST","dc:53:60:e7:8e:f2","", ainsworth
"Jul 26, 2019 13:31:19.294581000 AEST","58:40:4e:32:2b:db","uniwide", ainsworth
"Jul 26, 2019 13:31:20.673556000 AEST","aa:b6:41:f2:28:07","", ainsworth
"Jul 26, 2019 13:31:20.713729000 AEST","aa:b6:41:f2:28:07","", ainsworth
"Jul 26, 2019 13:31:20.755683000 AEST","aa:b6:41:f2:28:07","", ainsworth
"Jul 26, 2019 13:31:20.795809000 AEST","aa:b6:41:f2:28:07",, ainsworth
"Jul 26, 2019 13:31:22.204380000 AEST","64:b0:a6:36:59:45","uniwide", ainsworth
"Jul 26, 2019 13:31:22.363649000 AEST","fa:18:cc:3e:d1:7f","", ainsworth
"Jul 26, 2019 13:31:22.383838000 AEST","fa:18:cc:3e:d1:7f","", ainsworth
"Jul 26, 2019 13:31:22.738315000 AEST","8a:ae:8c:df:63:36","", ainsworth
"Jul 26, 2019 13:31:22.758550000 AEST","8a:ae:8c:df:63:36","", ainsworth
"Jul 26, 2019 13:31:22.850330000 AEST","b0:e1:7e:72:82:6a","", ainsworth
"Jul 26, 2019 13:31:23.434909000 AEST","08:c5:e1:a2:0f:52","", ainsworth
