frame.time,wlan.sa,wlan.ssid, seclab
"Jul 26, 2019 13:20:49.499689000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:49.522041000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:49.608621000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:49.628374000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:49.651408000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:49.671346000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:49.715859000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:49.737199000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:49.757875000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:49.817931000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:20:49.828740000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:20:49.912118000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:49.930991000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:49.954312000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:50.130929000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:20:50.146608000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:20:50.169679000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:20:50.772371000 AEST","26:a7:52:76:56:ae","", seclab
"Jul 26, 2019 13:20:50.794387000 AEST","26:a7:52:76:56:ae","", seclab
"Jul 26, 2019 13:20:50.835642000 AEST","26:a7:52:76:56:ae","", seclab
"Jul 26, 2019 13:20:50.977368000 AEST","a8:db:03:21:a0:1b","", seclab
"Jul 26, 2019 13:20:51.149210000 AEST","38:0f:4a:c9:a7:e3","", seclab
"Jul 26, 2019 13:20:52.571133000 AEST","a8:db:03:21:a0:1b","", seclab
"Jul 26, 2019 13:20:52.613178000 AEST","a8:db:03:21:a0:1b","", seclab
"Jul 26, 2019 13:20:52.797783000 AEST","a8:db:03:21:a0:1b","", seclab
"Jul 26, 2019 13:20:53.533478000 AEST","06:9e:65:0e:89:9e","", seclab
"Jul 26, 2019 13:20:53.889270000 AEST","62:07:4d:87:4c:98","", seclab
"Jul 26, 2019 13:20:54.139733000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:20:54.160531000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:20:54.245171000 AEST","84:38:38:ec:65:cb","", seclab
"Jul 26, 2019 13:20:54.462794000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:20:54.499379000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:20:54.532032000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:20:54.562088000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:20:55.068756000 AEST","4e:45:4e:fe:38:f5","", seclab
"Jul 26, 2019 13:20:55.112633000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:55.135663000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:55.179165000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:55.199530000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:55.374831000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:55.419109000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:55.504954000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:55.742094000 AEST","e2:55:1d:10:35:1a","", seclab
"Jul 26, 2019 13:20:57.196148000 AEST","38:29:5a:59:ff:47","", seclab
"Jul 26, 2019 13:20:57.739573000 AEST","da:a1:19:27:fc:8f","", seclab
"Jul 26, 2019 13:20:57.807442000 AEST","da:a1:19:27:fc:8f","", seclab
"Jul 26, 2019 13:20:57.835521000 AEST","da:a1:19:27:fc:8f","", seclab
"Jul 26, 2019 13:20:57.856817000 AEST","e0:33:8e:80:c0:ea","uniwide", seclab
"Jul 26, 2019 13:20:57.858644000 AEST","da:a1:19:27:fc:8f","", seclab
"Jul 26, 2019 13:20:58.479650000 AEST","2a:f1:c0:ff:b1:36","", seclab
"Jul 26, 2019 13:20:58.499923000 AEST","2a:f1:c0:ff:b1:36","", seclab
"Jul 26, 2019 13:20:58.520395000 AEST","2a:f1:c0:ff:b1:36","", seclab
"Jul 26, 2019 13:20:58.540186000 AEST","2a:f1:c0:ff:b1:36","", seclab
"Jul 26, 2019 13:20:59.043120000 AEST","16:87:f2:d6:6b:f5","", seclab
"Jul 26, 2019 13:20:59.106047000 AEST","2e:2e:78:b1:8d:6b","", seclab
"Jul 26, 2019 13:20:59.576288000 AEST","f6:d8:41:64:2c:3f","", seclab
"Jul 26, 2019 13:20:59.696353000 AEST","34:f6:4b:b9:c8:23","uniwide", seclab
"Jul 26, 2019 13:20:59.698542000 AEST","f6:d8:41:64:2c:3f","", seclab
"Jul 26, 2019 13:20:59.711434000 AEST","f6:d8:41:64:2c:3f","", seclab
"Jul 26, 2019 13:20:59.736068000 AEST","f6:d8:41:64:2c:3f","", seclab
"Jul 26, 2019 13:20:59.841904000 AEST","68:fb:7e:a2:37:6f","", seclab
"Jul 26, 2019 13:21:00.491075000 AEST","ce:4c:85:ab:8c:d5","", seclab
"Jul 26, 2019 13:21:00.562690000 AEST","e2:55:1d:10:35:1a","", seclab
"Jul 26, 2019 13:21:00.576955000 AEST","8c:f5:a3:12:8c:c9","", seclab
"Jul 26, 2019 13:21:00.798478000 AEST","8c:f5:a3:12:8c:c9","", seclab
"Jul 26, 2019 13:21:00.993021000 AEST","9c:b6:d0:11:08:77","", seclab
"Jul 26, 2019 13:21:01.043192000 AEST","9c:b6:d0:11:08:77","", seclab
"Jul 26, 2019 13:21:01.103248000 AEST","9c:b6:d0:11:08:77","uniwide", seclab
"Jul 26, 2019 13:21:01.109234000 AEST","9c:b6:d0:11:08:77","uniwide", seclab
"Jul 26, 2019 13:21:02.613006000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:21:04.072377000 AEST","bc:b8:63:7e:ad:b1","uniwide", seclab
"Jul 26, 2019 13:21:04.175532000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:21:04.189681000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:21:04.475967000 AEST","b8:c1:11:20:c7:42","uniwide", seclab
"Jul 26, 2019 13:21:04.482454000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:21:04.507647000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:21:04.515833000 AEST","b8:c1:11:20:c7:42","uniwide", seclab
"Jul 26, 2019 13:21:04.539523000 AEST","9c:b6:d0:f6:10:0b","eduroam", seclab
"Jul 26, 2019 13:21:04.545206000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:21:04.575269000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:21:04.645046000 AEST","9c:b6:d0:f6:10:0b","eduroam", seclab
"Jul 26, 2019 13:21:04.751027000 AEST","9c:b6:d0:f6:10:0b","eduroam", seclab
"Jul 26, 2019 13:21:04.880062000 AEST","8c:85:90:87:78:ee","A606", seclab
"Jul 26, 2019 13:21:04.881090000 AEST","8c:85:90:87:78:ee","", seclab
"Jul 26, 2019 13:21:05.959484000 AEST","da:a1:19:66:1d:72","", seclab
"Jul 26, 2019 13:21:05.971716000 AEST","da:a1:19:66:1d:72","", seclab
"Jul 26, 2019 13:21:05.981789000 AEST","da:a1:19:66:1d:72","", seclab
"Jul 26, 2019 13:21:05.991837000 AEST","da:a1:19:66:1d:72","", seclab
"Jul 26, 2019 13:21:06.000997000 AEST","da:a1:19:66:1d:72","", seclab
"Jul 26, 2019 13:21:06.001002000 AEST","da:a1:19:66:1d:72","", seclab
"Jul 26, 2019 13:21:06.022146000 AEST","da:a1:19:66:1d:72","", seclab
"Jul 26, 2019 13:21:06.067586000 AEST","08:f6:9c:52:e5:61","uniwide", seclab
"Jul 26, 2019 13:21:06.077641000 AEST","08:f6:9c:52:e5:61","uniwide", seclab
"Jul 26, 2019 13:21:06.321613000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:06.341257000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:06.364464000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:06.384839000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:06.408098000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:06.428445000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:06.686950000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:06.729096000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:07.405103000 AEST","8c:85:90:87:78:ee","uniwide", seclab
"Jul 26, 2019 13:21:08.018823000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:21:08.055804000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:21:08.103050000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:21:08.140107000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:21:08.191120000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:21:08.234392000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:21:08.604987000 AEST","48:2c:a0:d2:0e:2f","", seclab
"Jul 26, 2019 13:21:09.472129000 AEST","0c:54:15:bc:8e:d7","eduroam", seclab
"Jul 26, 2019 13:21:09.479931000 AEST","ea:a1:e0:c2:6e:30","", seclab
"Jul 26, 2019 13:21:09.498440000 AEST","d0:53:49:0e:75:fd","", seclab
"Jul 26, 2019 13:21:09.565617000 AEST","ea:a1:e0:c2:6e:30","", seclab
"Jul 26, 2019 13:21:09.623184000 AEST","d0:53:49:0e:75:fd","", seclab
"Jul 26, 2019 13:21:09.653570000 AEST","d0:53:49:0e:75:fd","", seclab
"Jul 26, 2019 13:21:09.753522000 AEST","0c:54:15:bc:8e:d7","eduroam", seclab
"Jul 26, 2019 13:21:09.778135000 AEST","0c:54:15:bc:8e:d7","eduroam", seclab
"Jul 26, 2019 13:21:10.050520000 AEST","0c:54:15:bc:8e:d7","eduroam", seclab
"Jul 26, 2019 13:21:10.390521000 AEST","da:a1:19:7f:c9:0b","", seclab
"Jul 26, 2019 13:21:10.419921000 AEST","d0:53:49:0e:75:fd","", seclab
"Jul 26, 2019 13:21:10.450288000 AEST","d0:53:49:0e:75:fd","", seclab
"Jul 26, 2019 13:21:13.412988000 AEST","94:65:2d:b1:fa:28","uniwide", seclab
"Jul 26, 2019 13:21:13.778735000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:21:13.789617000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:21:13.849730000 AEST","bc:ec:5d:0e:6c:cb","uniwide", seclab
"Jul 26, 2019 13:21:13.875619000 AEST","bc:ec:5d:0e:6c:cb","uniwide", seclab
"Jul 26, 2019 13:21:13.913189000 AEST","30:07:4d:ef:af:0b","", seclab
"Jul 26, 2019 13:21:13.934116000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:21:13.950359000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:21:14.000619000 AEST","30:07:4d:ef:af:0b","", seclab
"Jul 26, 2019 13:21:14.040903000 AEST","30:07:4d:ef:af:0b","", seclab
"Jul 26, 2019 13:21:14.085647000 AEST","30:07:4d:ef:af:0b","", seclab
"Jul 26, 2019 13:21:14.124764000 AEST","28:f0:76:21:98:da","", seclab
"Jul 26, 2019 13:21:14.126709000 AEST","30:07:4d:ef:af:0b","", seclab
"Jul 26, 2019 13:21:14.217488000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:21:14.234578000 AEST","40:f0:2f:10:57:0d","", seclab
"Jul 26, 2019 13:21:14.382647000 AEST","08:c5:e1:2e:33:a1","uniwide", seclab
"Jul 26, 2019 13:21:14.411401000 AEST","08:c5:e1:2e:33:a1","uniwide", seclab
"Jul 26, 2019 13:21:14.427111000 AEST","08:c5:e1:2e:33:a1","uniwide", seclab
