"Jul 26, 2019 16:26:20.688857000 AEST","c4:98:80:70:37:6c"
"Jul 26, 2019 16:26:20.700600000 AEST","48:a1:95:b8:6d:c2"
"Jul 26, 2019 16:26:20.707467000 AEST","48:a1:95:b8:6d:c2"
"Jul 26, 2019 16:26:21.761308000 AEST","a4:b8:05:67:4c:c9"
"Jul 26, 2019 16:26:27.828209000 AEST","e2:55:1d:10:35:1a"
"Jul 26, 2019 16:26:28.342259000 AEST","d4:63:c6:01:63:15"
"Jul 26, 2019 16:26:28.358407000 AEST","d4:63:c6:01:63:15"
"Jul 26, 2019 16:26:28.798057000 AEST","f8:2d:7c:ae:48:4d"
"Jul 26, 2019 16:26:29.481964000 AEST","1a:b8:d3:c2:86:d2"
"Jul 26, 2019 16:26:29.507877000 AEST","1a:b8:d3:c2:86:d2"
"Jul 26, 2019 16:26:29.600515000 AEST","cc:44:63:6c:25:a7"
"Jul 26, 2019 16:26:29.611249000 AEST","cc:44:63:6c:25:a7"
"Jul 26, 2019 16:26:29.613873000 AEST","e0:33:8e:3d:55:b8"
"Jul 26, 2019 16:26:29.755446000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:26:29.791536000 AEST","d6:5a:e9:0b:09:d6"
"Jul 26, 2019 16:26:29.840405000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:26:29.880586000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:26:30.865818000 AEST","e0:33:8e:3d:55:b8"
"Jul 26, 2019 16:26:33.070442000 AEST","e0:33:8e:3d:55:b8"
"Jul 26, 2019 16:26:33.093165000 AEST","e0:33:8e:3d:55:b8"
"Jul 26, 2019 16:26:33.592569000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:33.613610000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:33.625605000 AEST","98:22:ef:97:70:77"
"Jul 26, 2019 16:26:37.899686000 AEST","66:8d:ec:de:c8:c9"
"Jul 26, 2019 16:26:37.941123000 AEST","66:8d:ec:de:c8:c9"
"Jul 26, 2019 16:26:37.983524000 AEST","66:8d:ec:de:c8:c9"
"Jul 26, 2019 16:26:38.093563000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:26:38.179106000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:26:38.201019000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:26:38.281015000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:26:38.439154000 AEST","9c:4f:da:d3:1c:c7"
"Jul 26, 2019 16:26:41.860536000 AEST","04:d6:aa:fe:bc:c6"
"Jul 26, 2019 16:26:41.880763000 AEST","04:d6:aa:fe:bc:c6"
"Jul 26, 2019 16:26:42.521807000 AEST","04:d6:aa:fe:bc:c6"
"Jul 26, 2019 16:26:44.973895000 AEST","cc:2d:b7:49:6e:dd"
"Jul 26, 2019 16:26:47.630353000 AEST","08:f4:ab:8e:a5:78"
"Jul 26, 2019 16:26:47.648811000 AEST","08:f4:ab:8e:a5:78"
"Jul 26, 2019 16:26:47.667245000 AEST","08:f4:ab:8e:a5:78"
"Jul 26, 2019 16:26:47.668370000 AEST","08:f4:ab:8e:a5:78"
"Jul 26, 2019 16:26:47.695502000 AEST","08:f4:ab:8e:a5:78"
"Jul 26, 2019 16:26:47.895028000 AEST","a0:18:28:2a:f7:7a"
"Jul 26, 2019 16:26:47.902286000 AEST","a0:18:28:2a:f7:7a"
"Jul 26, 2019 16:26:48.640089000 AEST","9c:b6:d0:f0:0c:0f"
"Jul 26, 2019 16:26:48.760303000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:48.937406000 AEST","ac:5f:3e:cd:51:6e"
"Jul 26, 2019 16:26:48.957858000 AEST","ac:5f:3e:cd:51:6e"
"Jul 26, 2019 16:26:48.988072000 AEST","ac:5f:3e:cd:51:6e"
"Jul 26, 2019 16:26:49.008443000 AEST","ac:5f:3e:cd:51:6e"
"Jul 26, 2019 16:26:49.089086000 AEST","ac:5f:3e:cd:51:6e"
"Jul 26, 2019 16:26:49.109282000 AEST","ac:5f:3e:cd:51:6e"
"Jul 26, 2019 16:26:49.136128000 AEST","ac:5f:3e:cd:51:6e"
"Jul 26, 2019 16:26:49.156580000 AEST","ac:5f:3e:cd:51:6e"
"Jul 26, 2019 16:26:49.244193000 AEST","ac:5f:3e:cd:51:6e"
"Jul 26, 2019 16:26:49.263458000 AEST","ac:5f:3e:cd:51:6e"
"Jul 26, 2019 16:26:49.579325000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:26:50.166949000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:26:50.187982000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:26:51.493661000 AEST","60:21:01:e0:04:ef"
"Jul 26, 2019 16:26:51.493670000 AEST","60:21:01:e0:04:ef"
"Jul 26, 2019 16:26:51.513788000 AEST","60:21:01:e0:04:ef"
"Jul 26, 2019 16:26:51.513795000 AEST","60:21:01:e0:04:ef"
"Jul 26, 2019 16:26:53.805414000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:53.805426000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:53.805433000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:53.900567000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:53.900576000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:53.900582000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:53.921098000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:53.921107000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:53.921113000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:53.967377000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:53.967384000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:53.967390000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:54.227801000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:54.274794000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:54.274801000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:54.276463000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:54.707181000 AEST","22:d6:78:35:0f:0a"
"Jul 26, 2019 16:26:55.207143000 AEST","f0:99:b6:43:af:25"
"Jul 26, 2019 16:26:55.215107000 AEST","f0:99:b6:43:af:25"
"Jul 26, 2019 16:26:55.529689000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:26:55.912907000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:26:55.929699000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:26:56.123843000 AEST","a2:3a:0c:39:4d:d3"
"Jul 26, 2019 16:26:56.126025000 AEST","a2:3a:0c:39:4d:d3"
"Jul 26, 2019 16:26:56.145782000 AEST","a2:3a:0c:39:4d:d3"
"Jul 26, 2019 16:26:56.147166000 AEST","a2:3a:0c:39:4d:d3"
"Jul 26, 2019 16:26:56.177499000 AEST","a2:3a:0c:39:4d:d3"
"Jul 26, 2019 16:26:56.210527000 AEST","a2:3a:0c:39:4d:d3"
"Jul 26, 2019 16:26:56.211712000 AEST","a2:3a:0c:39:4d:d3"
"Jul 26, 2019 16:26:56.232160000 AEST","a2:3a:0c:39:4d:d3"
"Jul 26, 2019 16:26:56.233350000 AEST","a2:3a:0c:39:4d:d3"
"Jul 26, 2019 16:26:56.275749000 AEST","a2:3a:0c:39:4d:d3"
"Jul 26, 2019 16:26:56.299333000 AEST","a2:3a:0c:39:4d:d3"
"Jul 26, 2019 16:26:56.320698000 AEST","a2:3a:0c:39:4d:d3"
"Jul 26, 2019 16:26:57.282739000 AEST","dc:a9:04:8b:95:ed"
"Jul 26, 2019 16:26:57.290741000 AEST","dc:a9:04:8b:95:ed"
"Jul 26, 2019 16:26:57.300238000 AEST","9c:b6:d0:f0:0b:a9"
"Jul 26, 2019 16:26:58.228285000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:26:58.275207000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:26:58.960546000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:26:59.015172000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:26:59.300690000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:26:59.414921000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:26:59.469779000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:26:59.528774000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:26:59.583596000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:26:59.645123000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:26:59.704560000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:26:59.759305000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:26:59.815046000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:26:59.873576000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:26:59.929417000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:27:00.042690000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:27:00.101184000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:27:00.140783000 AEST","98:22:ef:97:70:77"
"Jul 26, 2019 16:27:00.156375000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:27:00.332352000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:27:00.388170000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:27:00.423153000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:27:00.757042000 AEST","88:e9:fe:83:d7:41"
"Jul 26, 2019 16:27:01.533701000 AEST","98:22:ef:97:70:77"
"Jul 26, 2019 16:27:02.536834000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:27:02.557156000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:27:02.598353000 AEST","7e:b5:10:3a:9e:cc"
"Jul 26, 2019 16:27:03.312524000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:27:03.449043000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:27:03.520137000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:27:03.658073000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:27:04.249960000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:27:04.268741000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:27:04.366212000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:27:04.440736000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:27:04.460781000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:27:04.537198000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:27:04.711167000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:27:04.721592000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:27:04.737355000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:27:04.748574000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:27:04.755751000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:27:04.766024000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:27:04.777414000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:27:05.063914000 AEST","08:f4:ab:8e:a5:78"
"Jul 26, 2019 16:27:05.124085000 AEST","08:f4:ab:8e:a5:78"
"Jul 26, 2019 16:27:05.203256000 AEST","48:a1:95:b8:6d:c2"
"Jul 26, 2019 16:27:05.214257000 AEST","48:a1:95:b8:6d:c2"
"Jul 26, 2019 16:27:05.314384000 AEST","8a:be:bb:da:da:25"
"Jul 26, 2019 16:27:05.327117000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:05.352847000 AEST","b8:b2:f8:84:db:08"
"Jul 26, 2019 16:27:05.360526000 AEST","8a:be:bb:da:da:25"
"Jul 26, 2019 16:27:05.454534000 AEST","8a:be:bb:da:da:25"
"Jul 26, 2019 16:27:05.534880000 AEST","48:a1:95:b8:6d:c2"
"Jul 26, 2019 16:27:05.597362000 AEST","b8:63:4d:76:b6:d9"
"Jul 26, 2019 16:27:06.567342000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:06.607596000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:06.652304000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:06.692516000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:06.737468000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:06.777646000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:06.822239000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:06.862439000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:06.907232000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:27:07.056111000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:27:07.056120000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:27:07.056126000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:27:07.076717000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:27:07.076725000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:27:07.076732000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:27:09.165715000 AEST","da:48:1d:81:d5:08"
"Jul 26, 2019 16:27:09.303520000 AEST","da:48:1d:81:d5:08"
"Jul 26, 2019 16:27:09.318310000 AEST","60:f8:1d:af:d3:90"
"Jul 26, 2019 16:27:09.319262000 AEST","60:f8:1d:af:d3:90"
"Jul 26, 2019 16:27:09.378040000 AEST","60:f8:1d:af:d3:90"
"Jul 26, 2019 16:27:09.507976000 AEST","da:48:1d:81:d5:08"
"Jul 26, 2019 16:27:09.563410000 AEST","da:48:1d:81:d5:08"
"Jul 26, 2019 16:27:09.726994000 AEST","60:f8:1d:af:d3:90"
"Jul 26, 2019 16:27:09.756433000 AEST","34:13:e8:3c:15:c7"
"Jul 26, 2019 16:27:09.758650000 AEST","34:13:e8:3c:15:c7"
"Jul 26, 2019 16:27:09.777298000 AEST","60:f8:1d:af:d3:90"
"Jul 26, 2019 16:27:09.777329000 AEST","60:f8:1d:af:d3:90"
"Jul 26, 2019 16:27:09.779347000 AEST","60:f8:1d:af:d3:90"
"Jul 26, 2019 16:27:09.779357000 AEST","60:f8:1d:af:d3:90"
"Jul 26, 2019 16:27:09.793704000 AEST","60:f8:1d:af:d3:90"
"Jul 26, 2019 16:27:09.808053000 AEST","60:f8:1d:af:d3:90"
"Jul 26, 2019 16:27:09.844701000 AEST","6a:e1:3b:33:14:45"
"Jul 26, 2019 16:27:10.218072000 AEST","08:f4:ab:8e:a5:78"
"Jul 26, 2019 16:27:10.219182000 AEST","08:f4:ab:8e:a5:78"
"Jul 26, 2019 16:27:13.416404000 AEST","04:d6:aa:fe:bc:c6"
"Jul 26, 2019 16:27:14.318034000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:27:14.416997000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:27:14.482079000 AEST","1a:b8:d3:c2:86:d2"
"Jul 26, 2019 16:27:14.511794000 AEST","1a:b8:d3:c2:86:d2"
"Jul 26, 2019 16:27:14.778849000 AEST","1a:b8:d3:c2:86:d2"
"Jul 26, 2019 16:27:14.806279000 AEST","1a:b8:d3:c2:86:d2"
"Jul 26, 2019 16:27:15.047085000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:27:15.068047000 AEST","70:b7:aa:cd:65:f3"
"Jul 26, 2019 16:27:15.389592000 AEST","34:13:e8:3c:15:c7"
"Jul 26, 2019 16:27:16.013063000 AEST","f4:5c:89:a1:cf:fb"
"Jul 26, 2019 16:27:16.041362000 AEST","f4:5c:89:a1:cf:fb"
"Jul 26, 2019 16:27:16.079771000 AEST","f4:5c:89:a1:cf:fb"
"Jul 26, 2019 16:27:16.080998000 AEST","f4:5c:89:a1:cf:fb"
"Jul 26, 2019 16:27:16.197648000 AEST","f4:5c:89:a1:cf:fb"
"Jul 26, 2019 16:27:16.246069000 AEST","f4:5c:89:a1:cf:fb"
"Jul 26, 2019 16:27:16.261518000 AEST","f4:5c:89:a1:cf:fb"
"Jul 26, 2019 16:27:17.155614000 AEST","70:f0:87:d6:15:5b"
"Jul 26, 2019 16:27:17.927351000 AEST","70:f0:87:d6:15:5b"
"Jul 26, 2019 16:27:18.275778000 AEST","70:f0:87:d6:15:5b"
"Jul 26, 2019 16:27:19.168678000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:27:19.201521000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:27:19.309514000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:27:20.404872000 AEST","6c:4d:73:06:9e:87"
"Jul 26, 2019 16:27:22.682173000 AEST","70:b7:aa:cd:65:f3"
